"id","tenantId","surveyId","sessionId","type","payload","occurredAt","availableAt","attempts","lockedAt","processedAt"
"00876594-23b7-4505-bb43-acc8575f8ac4","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""581241ac-b38f-494b-8328-aa47f9fe1b0e"", ""answers"": [{""textValue"": ""Everything"", ""questionId"": ""aa5e690f-f90b-4110-bc69-1794e9217208""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:48.172","2025-09-12 09:24:48.172",0,NULL,"2025-09-12 09:24:49.069"
"00e34f9b-ea9d-40a8-84d1-5243560f7c52","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""8532e9fd-2991-4ae0-be7a-382295b8e4ce"", ""answers"": [{""choices"": [""Ben 10: Classic""], ""questionId"": ""8f5c577a-8ca5-4027-82e5-cd3272c2ea3d""}, {""choices"": [""Vilgax""], ""questionId"": ""d67ed529-9035-4416-9bf4-92dd26383bd3""}, {""choices"": [""Yes""], ""questionId"": ""94bb68e0-205a-48d8-8c9b-b147e69a373f""}, {""choices"": [""Power Rangers Samurai""], ""questionId"": ""a92daed1-cc98-4d3c-a156-f0f80775405e""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:37.235","2025-09-12 09:24:37.235",0,NULL,"2025-09-12 09:24:37.984"
"06bef4d2-3865-47d8-9713-2ad59486254c","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""c1c5b058-1513-4d85-b99b-9fe681147d33"", ""answers"": [{""choices"": [""Yes""], ""questionId"": ""edc49c4d-a8b3-4834-993a-a461a32264b5""}, {""phoneValue"": ""555 123-4567"", ""questionId"": ""1d3bc348-c864-4838-9828-821b99778c42""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:25:21.648","2025-09-12 09:25:21.648",0,NULL,"2025-09-12 09:25:22.291"
"212c6f9b-bf20-464c-a476-94db68612a49","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","quota.reserved","{""bucketId"": ""98e005cc-076e-4ee4-ad7c-557f693a3cd3"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:40.87","2025-09-12 09:24:40.87",0,NULL,"2025-09-12 09:24:41.002"
"2ec12a6f-6ea9-42e6-bce7-5d9284ea494b","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","quota.reserved","{""bucketId"": ""75694c74-bec0-4b66-bf13-294ce5dab153"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:25:21.648","2025-09-12 09:25:21.648",0,NULL,"2025-09-12 09:25:22.304"
"4595682f-bc75-49f9-abc7-3b76bb9d37e4","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""8ac7ddd5-f72c-4ebf-aea8-38a59a2714e6"", ""answers"": [{""choices"": [""Very Satisfied""], ""questionId"": ""f4fde1a2-0755-40b1-ba37-e7cecee4d012""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:42.684","2025-09-12 09:24:42.684",0,NULL,"2025-09-12 09:24:43.018"
"677b3fee-f8ca-4f36-a657-d0d4f8824f06","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","quota.reserved","{""bucketId"": ""635c10e0-a30c-4f3c-9849-795e1c74be81"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:26.975","2025-09-12 09:24:26.975",0,NULL,"2025-09-12 09:24:28.219"
"726ab4e9-d16a-4ec5-8516-45535727f5ca","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""5c0cbcc1-c542-4d53-9fc2-1c80f36f2497"", ""answers"": [{""choices"": [""Yes""], ""questionId"": ""5193204d-65bb-4b11-b042-4b4380047a2e""}, {""choices"": [""Yes""], ""questionId"": ""7adf173a-4257-4dae-8632-c3938f0d6569""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:40.87","2025-09-12 09:24:40.87",0,NULL,"2025-09-12 09:24:40.996"
"90c93ac7-237a-4372-b0ed-2f98fdac63da","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","quota.reserved","{""bucketId"": ""29c916b8-a836-4071-b197-e4c50454cdc7"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:37.235","2025-09-12 09:24:37.235",0,NULL,"2025-09-12 09:24:38"
"9a8daf65-308f-4326-be29-ee45b4facc4f","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""cce93ec9-f88d-4711-8060-bb667ccafdc2"", ""answers"": [{""choices"": [""BMW"", ""Tesla""], ""questionId"": ""aa84acb7-c28d-4f1b-aa30-7028e81435e4""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:30.085","2025-09-12 09:24:30.085",0,NULL,"2025-09-12 09:24:30.958"
"a7578456-af7c-44eb-af91-f4911e7d1ee7","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""3416a5d4-f05e-4b86-885f-dce207c85bd9"", ""answers"": [{""choices"": [""Agree""], ""questionId"": ""363371ec-2302-4986-99f1-abcd89a5ae8b""}, {""choices"": [""Pegasus vs LDrago 2012 - 2014""], ""questionId"": ""06b19f0d-c293-419c-aa10-400c2adc37d9""}, {""choices"": [""Yes""], ""questionId"": ""3399fb04-ecb7-4bd4-905c-301cbb2fe643""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:08:05.868","2025-09-12 09:08:05.868",0,NULL,"2025-09-12 09:08:06.945"
"a9168647-6b13-41ed-bb98-9e83329bfbfd","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","quota.reserved","{""bucketId"": ""9386f37e-f650-4707-ac78-ed37e62399e6"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:30.085","2025-09-12 09:24:30.085",0,NULL,"2025-09-12 09:24:30.969"
"b57d055c-0479-4e8d-b844-763dd6e2c354","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","session.completed","{""surveyId"": ""470ef48b-6725-4225-8029-ec8f954bb969"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:25:21.827","2025-09-12 09:25:21.827",0,NULL,"2025-09-12 09:25:22.317"
"bf295b27-aff8-47e5-9609-a8b19b1d3fe8","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","session.started","{""surveyId"": ""470ef48b-6725-4225-8029-ec8f954bb969"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 08:57:36.864","2025-09-12 08:57:36.864",0,NULL,"2025-09-12 08:57:37.136"
"bff44a22-d498-48cf-b190-0c1a671d60f0","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","quota.reserved","{""bucketId"": ""14f98303-10dd-451c-b4d8-a9ddafc9ddb8"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:08:05.868","2025-09-12 09:08:05.868",0,NULL,"2025-09-12 09:08:06.969"
"d35e68d8-7dd1-40b6-9c6b-9540a97bf2c6","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","answer.upserted","{""pageId"": ""7e6e4027-c961-4582-bbd0-32fa50f4516e"", ""answers"": [{""textValue"": ""70"", ""questionId"": ""273ea37a-83ad-4583-9df8-fdc6fd21e0c0""}, {""choices"": [""Tyson""], ""questionId"": ""1f6d46f7-2717-449d-8fe1-5f545e181e6b""}, {""choices"": [""Dragoon""], ""questionId"": ""15e0d622-5deb-47f7-a86c-3a778799bf04""}], ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:26.975","2025-09-12 09:24:26.975",0,NULL,"2025-09-12 09:24:28.201"
"f0b7a188-bb14-4ee3-8915-1b0e7ecea599","96fb4499-2ba5-47fc-b054-d48078961a4b","470ef48b-6725-4225-8029-ec8f954bb969","e27b59bc-f20f-483f-8435-f5ae86d30c70","quota.reserved","{""bucketId"": ""9a6319fa-d719-4fc7-bfe5-497b023e306b"", ""sessionId"": ""e27b59bc-f20f-483f-8435-f5ae86d30c70""}","2025-09-12 09:24:42.684","2025-09-12 09:24:42.684",0,NULL,"2025-09-12 09:24:43.035"
